destination_state,year,population,same_house,same_state,from_different_state_Total,abroad_Total,from,number_of_people
Oregon,2022,4201011,3590534,464369,128359,17749,Idaho,7508
Pennsylvania,2022,12845436,11466446,1059216,262700,57074,Idaho,1962
Rhode Island,2022,1083984,967814,67254,40311,8605,Idaho,230
South Carolina,2022,5228328,4524995,461411,219707,22215,Idaho,387
South Dakota,2022,898505,778044,85602,31300,3559,Idaho,106
Tennessee,2022,6976549,6069961,649312,225969,31307,Idaho,1332
Texas,2022,29671447,25416204,3349854,668338,237051,Idaho,3553
Utah,2022,3337151,2859230,367147,91341,19433,Idaho,7774
Vermont,2022,641722,566069,45750,26151,3752,Idaho,145
Virginia,2022,8590803,7439966,821193,266970,62674,Idaho,1353
Washington,2022,7710339,6572952,831247,248355,57785,Idaho,10557
West Virginia,2022,1758432,1576119,136161,43493,2659,Idaho,0
Wisconsin,2022,5835492,5119356,571451,120434,24251,Idaho,784
Wyoming,2022,575705,487359,57696,28948,1702,Idaho,1528
Puerto Rico,2022,3203439,3015876,156208,26989,4366,Idaho,0
Alabama,2017,4819343,4158224,535649,111803,13667,Illinois,2399
Alaska,2017,730874,595804,98168,30199,6703,Illinois,723
Arizona,2017,6935358,5717189,911120,261727,45322,Illinois,13095
Arkansas,2017,2968395,2509717,370309,79411,8958,Illinois,2252
California,2017,39085984,34009331,4234770,523131,318752,Illinois,27117
Colorado,2017,5542282,4546729,734182,226933,34438,Illinois,10652
Connecticut,2017,3556297,3136666,311726,83325,24580,Illinois,697
Delaware,2017,952449,830905,78998,38532,4014,Illinois,857
District of Columbia ,2017,684810,554225,64013,56231,10341,Illinois,2726
Florida,2017,20772371,17554348,2402381,566476,249166,Illinois,28631
Georgia,2017,10299497,8760762,1202587,278889,57259,Illinois,12025
Hawaii,2017,1410750,1231340,115683,46457,17270,Illinois,1062
Idaho,2017,1694182,1405344,210310,71899,6629,Illinois,357
Illinois,2017,12659328,11026895,1365922,195092,71419,Illinois,0
Indiana,2017,6591598,5633171,792487,142290,23650,Illinois,29526
Iowa,2017,3106880,2654666,362905,77072,12237,Illinois,12997
Kansas,2017,2876925,2413141,366147,86154,11483,Illinois,2840
Kentucky,2017,4404279,3721100,563721,103985,15473,Illinois,5333
Louisiana,2017,4629962,4030674,513676,72836,12776,Illinois,1829
Maine,2017,1322591,1140136,144186,34252,4017,Illinois,152
Maryland,2017,5988007,5168350,605885,165654,48118,Illinois,2615
Massachusetts,2017,6789798,5888011,677835,146299,77653,Illinois,2301
Michigan,2017,9851330,8450559,1203536,148787,48448,Illinois,13913
Minnesota,2017,5510902,4728748,643272,115623,23259,Illinois,7297
Mississippi,2017,2946971,2553271,313673,73549,6478,Illinois,2611
Missouri,2017,6039877,5108238,742205,164957,24477,Illinois,22767
Montana,2017,1039170,883342,116400,35456,3972,Illinois,839
Nebraska,2017,1894217,1586729,243792,52507,11189,Illinois,1615
Nevada,2017,2963456,2430163,383067,133074,17152,Illinois,2737
New Hampshire,2017,1330742,1134244,137212,52893,6393,Illinois,968
New Jersey,2017,8910191,7968039,710807,152106,79239,Illinois,2517
New Mexico,2017,2062628,1801560,193225,57255,10588,Illinois,1297
New York,2017,19638923,17553033,1655152,285252,145486,Illinois,6879
North Carolina,2017,10158556,8649400,1139260,313834,56062,Illinois,6013
North Dakota,2017,744641,609017,92436,37315,5873,Illinois,302
Ohio,2017,11520109,9822847,1452745,198929,45588,Illinois,9676
Oklahoma,2017,3875922,3216306,542724,101961,14931,Illinois,1959
Oregon,2017,4102048,3405784,520747,149513,26004,Illinois,4110
Pennsylvania,2017,12674642,11072942,1292389,250120,59191,Illinois,5047
Rhode Island,2017,1048549,922210,83440,36850,6049,Illinois,207
South Carolina,2017,4966211,4248517,531315,166573,19806,Illinois,3918
South Dakota,2017,856726,723740,99781,26106,7099,Illinois,177
Tennessee,2017,6642072,5675990,748912,191909,25261,Illinois,12376
Texas,2017,27924632,23534387,3643333,524511,222401,Illinois,26214
Utah,2017,3056193,2532858,398606,99584,25145,Illinois,1810
Vermont,2017,619089,536390,57588,21868,3243,Illinois,1317
Virginia,2017,8372522,7089782,958267,250490,73983,Illinois,6515
Washington,2017,7318811,6016482,978057,260787,63485,Illinois,8848
West Virginia,2017,1798306,1589833,165375,40007,3091,Illinois,194
Wisconsin,2017,5731549,4908638,687285,112519,23107,Illinois,26963
Wyoming,2017,573483,481231,71338,18511,2403,Illinois,163
Puerto Rico,2017,3313519,3101332,189034,20167,2986,Illinois,171
Alabama,2018,4832358,4173026,534914,109301,15117,Illinois,3310
Alaska,2018,727164,608707,81229,32099,5129,Illinois,1024
Arizona,2018,7090137,5887700,888452,273714,40271,Illinois,13247
Arkansas,2018,2975961,2539294,354774,73179,8714,Illinois,3359
California,2018,39114889,34232867,4092388,501023,288611,Illinois,22165
Colorado,2018,5633029,4626834,728730,239153,38312,Illinois,7783
Connecticut,2018,3538203,3102312,320248,84718,30925,Illinois,1513
Delaware,2018,958770,853523,67984,34451,2812,Illinois,191
District of Columbia ,2018,693798,568201,68603,47555,9439,Illinois,1066
Florida,2018,21092877,17863603,2420485,587261,221528,Illinois,27622
Georgia,2018,10410462,8909803,1174523,274273,51863,Illinois,6146
Hawaii,2018,1403653,1211015,125172,54074,13392,Illinois,583
Idaho,2018,1734756,1438727,209540,79765,6724,Illinois,120
Illinois,2018,12599244,11029483,1295596,206620,67545,Illinois,0
Indiana,2018,6612948,5614432,821113,145256,32147,Illinois,31556
Iowa,2018,3119306,2662849,371285,74199,10973,Illinois,15699
Kansas,2018,2874208,2392841,371025,95748,14594,Illinois,2839
Kentucky,2018,4414714,3744188,547535,110456,12535,Illinois,5108
Louisiana,2018,4603081,4033845,474843,81355,13038,Illinois,2205
Maine,2018,1324095,1143612,142453,34706,3324,Illinois,180
Maryland,2018,5974521,5133916,630955,163216,46434,Illinois,1827
Massachusetts,2018,6834364,5970065,653940,144042,66317,Illinois,3415
Michigan,2018,9891083,8562101,1144840,139276,44866,Illinois,10193
Minnesota,2018,5543490,4781432,635928,100270,25860,Illinois,8454
Mississippi,2018,2955717,2582347,297788,68000,7582,Illinois,3245
Missouri,2018,6053109,5161553,720626,152326,18604,Illinois,20041
Montana,2018,1051757,891554,113693,43375,3135,Illinois,549
Nebraska,2018,1905843,1602056,239853,54579,9355,Illinois,1696
Nevada,2018,3003761,2495398,366629,127362,14372,Illinois,2938
New Hampshire,2018,1344750,1170412,119936,48367,6035,Illinois,0
New Jersey,2018,8815804,7870909,722620,159846,62429,Illinois,972
New Mexico,2018,2072546,1797834,204099,60068,10545,Illinois,482
New York,2018,19329704,17327068,1614505,254447,133684,Illinois,5977
North Carolina,2018,10274540,8723401,1178884,318681,53574,Illinois,6544
North Dakota,2018,749825,623183,89228,33735,3679,Illinois,467
Ohio,2018,11555163,9892715,1426959,198026,37463,Illinois,9797
Oklahoma,2018,3895983,3226343,548493,106943,14204,Illinois,3201
Oregon,2018,4152756,3438653,554097,140627,19379,Illinois,2022
Pennsylvania,2018,12674699,11119060,1239854,253520,62265,Illinois,3659
Rhode Island,2018,1047975,928114,78525,32841,8495,Illinois,293
South Carolina,2018,5029034,4309043,511153,186505,22333,Illinois,3454
South Dakota,2018,871271,740970,100177,26775,3349,Illinois,841
Tennessee,2018,6692936,5706212,748791,209377,28556,Illinois,9857
Texas,2018,28333482,23992374,3575604,563945,201559,Illinois,19241
Utah,2018,3114717,2583764,408033,100824,22096,Illinois,1737
Vermont,2018,621681,542177,50818,26306,2380,Illinois,75
Virginia,2018,8424340,7142767,947475,274003,60095,Illinois,7025
Washington,2018,7453439,6101533,1028654,260906,62346,Illinois,5382
West Virginia,2018,1787630,1585832,156420,43841,1537,Illinois,564
Wisconsin,2018,5751525,4960260,659159,114613,17493,Illinois,25155
Wyoming,2018,570867,479561,62957,25734,2615,Illinois,214
Puerto Rico,2018,3173956,2915696,234174,20900,3186,Illinois,594
Alabama,2019,4849509,4197698,534842,104780,12189,Illinois,1962
Alaska,2019,722063,609362,74375,34031,4295,Illinois,952
Arizona,2019,7200620,6038776,861935,253295,46614,Illinois,10915
Arkansas,2019,2989054,2559444,361762,59723,8125,Illinois,1308
California,2019,39084048,34394220,3943139,480204,266485,Illinois,24085
Colorado,2019,5701658,4695821,736314,240600,28923,Illinois,10153
Connecticut,2019,3531986,3106754,306070,90044,29118,Illinois,1389
Delaware,2019,964817,843383,79186,38014,4234,Illinois,562
District of Columbia ,2019,697556,563798,64893,58879,9986,Illinois,1361
Florida,2019,21269409,18083185,2381208,601611,203405,Illinois,24425
Georgia,2019,10499808,9034705,1130068,284541,50494,Illinois,14438
Hawaii,2019,1396819,1215974,116566,49708,14571,Illinois,568
Idaho,2019,1764327,1478739,200377,78730,6481,Illinois,268
Illinois,2019,12536539,11014059,1274091,190627,57762,Illinois,0
Indiana,2019,6656971,5735703,743092,151443,26733,Illinois,36328
Iowa,2019,3121385,2686528,348082,72651,14124,Illinois,10843
Kansas,2019,2879518,2426897,345003,94648,12970,Illinois,2449
Kentucky,2019,4421512,3792437,517128,100057,11890,Illinois,4843
Louisiana,2019,4595111,4018892,491341,67640,17238,Illinois,712
Maine,2019,1331656,1162558,128105,36129,4864,Illinois,436
Maryland,2019,5979602,5224363,569388,141766,44085,Illinois,1929
Massachusetts,2019,6828110,5975607,644535,144079,63889,Illinois,4050
Michigan,2019,9880758,8606216,1104190,132008,38344,Illinois,10177
Minnesota,2019,5575235,4836702,606228,106920,25385,Illinois,8348
Mississippi,2019,2943737,2583691,291479,61683,6884,Illinois,3133
Missouri,2019,6069697,5200465,694303,152345,22584,Illinois,17366
Montana,2019,1056994,882156,129779,40862,4197,Illinois,1045
Nebraska,2019,1910711,1622237,234322,46064,8088,Illinois,1158
Nevada,2019,3048602,2510591,384676,132950,20385,Illinois,4239
New Hampshire,2019,1350155,1173997,119189,50288,6681,Illinois,390
New Jersey,2019,8791672,7888800,689445,149260,64167,Illinois,1854
New Mexico,2019,2073628,1816418,189705,55545,11960,Illinois,836
New York,2019,19240920,17213380,1638372,254806,134362,Illinois,6447
North Carolina,2019,10371906,8834381,1170200,315215,52110,Illinois,6527
North Dakota,2019,750501,615450,94413,36668,3970,Illinois,451
Ohio,2019,11556037,9891733,1415185,205542,43577,Illinois,7615
Oklahoma,2019,3907258,3282746,509137,101844,13531,Illinois,2401
Oregon,2019,4178578,3527178,501680,129921,19799,Illinois,1602
Pennsylvania,2019,12670245,11092255,1259103,267465,51422,Illinois,3996
Rhode Island,2019,1050602,930406,80686,34984,4526,Illinois,624
South Carolina,2019,5092727,4414770,478892,176008,23057,Illinois,4210
South Dakota,2019,872708,739009,102133,26934,4632,Illinois,1300
Tennessee,2019,6754461,5782145,755183,196765,20368,Illinois,8607
Texas,2019,28642658,24347958,3517954,559661,217085,Illinois,23747
Utah,2019,3162102,2661654,389057,95608,15783,Illinois,4238
Vermont,2019,617560,536752,57776,21212,1820,Illinois,670
Virginia,2019,8439982,7201805,903735,264855,69587,Illinois,6562
Washington,2019,7527366,6253469,977928,231956,64013,Illinois,3829
West Virginia,2019,1773280,1563611,164739,39548,5382,Illinois,380
Wisconsin,2019,5760481,5001140,634732,107973,16636,Illinois,22402
Wyoming,2019,572884,473128,68127,30247,1382,Illinois,49
Puerto Rico,2019,3175835,2968876,169733,31144,6082,Illinois,652
Alabama,2021,4989797,4392571,468964,115641,12621,Illinois,3399
Alaska,2021,723949,625088,63611,31378,3872,Illinois,417
Arizona,2021,7202745,6144045,759450,264948,34302,Illinois,13018
Arkansas,2021,2990311,2595527,312848,76108,5828,Illinois,2548
California,2021,38833197,34461724,3749371,433402,188700,Illinois,22546
Colorado,2021,5757628,4794481,686892,250031,26224,Illinois,10241
Connecticut,2021,3571470,3168509,279328,106618,17015,Illinois,789
Delaware,2021,994669,889174,58180,42551,4764,Illinois,212
District of Columbia ,2021,661026,527167,68606,57746,7507,Illinois,1736
Florida,2021,21590684,18571567,2206566,674740,137811,Illinois,34061
Georgia,2021,10688429,9243299,1107180,302512,35438,Illinois,5472
Hawaii,2021,1426298,1230761,110790,71626,13121,Illinois,496
Idaho,2021,1879719,1601568,176458,96388,5305,Illinois,374
Illinois,2021,12544435,11095785,1200753,195177,52720,Illinois,0
Indiana,2021,6729771,5835956,714384,156417,23014,Illinois,37764
Iowa,2021,3159672,2725417,347372,77245,9638,Illinois,11475
Kansas,2021,2900594,2461533,323036,102319,13706,Illinois,3429
Kentucky,2021,4460646,3878219,463451,107693,11283,Illinois,4912
Louisiana,2021,4571302,3987402,483769,81944,18187,Illinois,2052
Maine,2021,1360264,1203199,111418,43492,2155,Illinois,485
Maryland,2021,6099715,5387234,519574,160016,32891,Illinois,3948
Massachusetts,2021,6916314,6043959,663154,158311,50890,Illinois,3962
Michigan,2021,9950336,8827083,950370,143042,29841,Illinois,12453
Minnesota,2021,5645866,4930664,606582,93286,15334,Illinois,6163
Mississippi,2021,2919574,2608484,241171,59759,10160,Illinois,1835
Missouri,2021,6102443,5282198,635797,165921,18527,Illinois,28457
Montana,2021,1093888,944443,100380,44531,4534,Illinois,466
Nebraska,2021,1939700,1677312,208977,43287,10124,Illinois,1463
Nevada,2021,3111722,2661617,305571,132648,11886,Illinois,2577
New Hampshire,2021,1377638,1223839,97263,53245,3291,Illinois,542
New Jersey,2021,9174117,8199595,723937,195828,54757,Illinois,2083
New Mexico,2021,2092251,1828971,188495,68019,6766,Illinois,1229
New York,2021,19626300,17583476,1666707,287249,88868,Illinois,8093
North Carolina,2021,10446881,9034306,1032016,336681,43878,Illinois,8920
North Dakota,2021,764638,641023,83572,37844,2199,Illinois,559
Ohio,2021,11660200,10209047,1228277,184477,38399,Illinois,11845
Oklahoma,2021,3943443,3347420,475441,108288,12294,Illinois,3251
Oregon,2021,4207387,3600937,458434,133935,14081,Illinois,1551
Pennsylvania,2021,12842522,11452320,1078336,261831,50035,Illinois,6000
Rhode Island,2021,1085539,959140,77691,43266,5442,Illinois,949
South Carolina,2021,5142137,4444195,484535,196200,17207,Illinois,4040
South Dakota,2021,884616,759943,95407,27528,1738,Illinois,487
Tennessee,2021,6899165,5955858,701333,220591,21383,Illinois,12722
Texas,2021,29170380,25086829,3315313,591395,176843,Illinois,20819
Utah,2021,3295561,2817208,359628,101051,17674,Illinois,1438
Vermont,2021,641007,564684,42454,31809,2060,Illinois,108
Virginia,2021,8557020,7384723,855269,272693,44335,Illinois,4833
Washington,2021,7657350,6474967,909338,225306,47739,Illinois,3956
West Virginia,2021,1767792,1584041,137757,43801,2193,Illinois,0
Wisconsin,2021,5838954,5123397,578787,122742,14028,Illinois,29975
Wyoming,2021,573476,481018,63128,27281,2049,Illinois,1275
Puerto Rico,2021,3248011,3040178,177594,27380,2859,Illinois,1688
Alabama,2022,5022366,4397470,471530,139263,14103,Illinois,4328
Alaska,2022,724196,614091,68351,36563,5191,Illinois,130
Arizona,2022,7285247,6264863,690856,282729,46799,Illinois,10623
Arkansas,2022,3007872,2618120,294640,86375,8737,Illinois,2383
California,2022,38629179,34335186,3515077,475803,303113,Illinois,24559
Colorado,2022,5781381,4834425,682450,229876,34630,Illinois,9281
Connecticut,2022,3588965,3172833,245100,145315,25717,Illinois,3290
Delaware,2022,1008173,899454,57963,46162,4594,Illinois,1256
District of Columbia ,2022,660942,515345,68363,64506,12728,Illinois,2548
Florida,2022,22043900,19029143,2008758,738969,267030,Illinois,35262
Georgia,2022,10791161,9348359,1054380,327795,60627,Illinois,11096
Hawaii,2022,1425611,1251057,106642,56209,11703,Illinois,1133
Idaho,2022,1919357,1633120,189164,87949,9124,Illinois,314
Illinois,2022,12455441,11002931,1150055,228308,74147,Illinois,0
Indiana,2022,6757160,5886762,691986,149331,29081,Illinois,31015
Iowa,2022,3166734,2760076,323444,72231,10983,Illinois,16504
Kansas,2022,2906619,2480630,320201,94208,11580,Illinois,2766
Kentucky,2022,4462146,3892713,439944,113197,16292,Illinois,6821
Louisiana,2022,4537185,4006126,435538,75330,20191,Illinois,1223
Maine,2022,1372172,1230229,95823,41618,4502,Illinois,517
Maryland,2022,6100234,5395850,511449,139784,53151,Illinois,3134
Massachusetts,2022,6918482,6065294,606626,171077,75485,Illinois,4060
Michigan,2022,9936710,8786959,949469,157955,42327,Illinois,10942
Minnesota,2022,5654602,4940488,571566,117016,25532,Illinois,7131
Mississippi,2022,2907327,2584891,238542,69948,13946,Illinois,847
Missouri,2022,6111432,5320580,609551,163254,18047,Illinois,20646
Montana,2022,1111641,964155,96436,48165,2885,Illinois,617
Nebraska,2022,1943359,1698838,184950,49159,10412,Illinois,1295
Nevada,2022,3145500,2719228,284073,127406,14793,Illinois,3845
New Hampshire,2022,1384607,1243278,86815,49782,4732,Illinois,412
New Jersey,2022,9174261,8289128,630801,175023,79309,Illinois,2484
New Mexico,2022,2092565,1846474,164418,72095,9578,Illinois,1261
New York,2022,19474187,17446663,1588018,301461,138045,Illinois,8679
North Carolina,2022,10588557,9242557,946048,341582,58370,Illinois,7931
North Dakota,2022,770498,648407,82522,34536,5033,Illinois,458
Ohio,2022,11631820,10218317,1161398,200809,51296,Illinois,8652
Oklahoma,2022,3974110,3396824,441285,117788,18213,Illinois,3052
Oregon,2022,4201011,3590534,464369,128359,17749,Illinois,3266
Pennsylvania,2022,12845436,11466446,1059216,262700,57074,Illinois,5659
Rhode Island,2022,1083984,967814,67254,40311,8605,Illinois,355
South Carolina,2022,5228328,4524995,461411,219707,22215,Illinois,5342
South Dakota,2022,898505,778044,85602,31300,3559,Illinois,29
Tennessee,2022,6976549,6069961,649312,225969,31307,Illinois,12602
Texas,2022,29671447,25416204,3349854,668338,237051,Illinois,25272
Utah,2022,3337151,2859230,367147,91341,19433,Illinois,1456
Vermont,2022,641722,566069,45750,26151,3752,Illinois,404
Virginia,2022,8590803,7439966,821193,266970,62674,Illinois,5881
Washington,2022,7710339,6572952,831247,248355,57785,Illinois,4772
West Virginia,2022,1758432,1576119,136161,43493,2659,Illinois,806
Wisconsin,2022,5835492,5119356,571451,120434,24251,Illinois,27369
Wyoming,2022,575705,487359,57696,28948,1702,Illinois,319
Puerto Rico,2022,3203439,3015876,156208,26989,4366,Illinois,553
Alabama,2017,4819343,4158224,535649,111803,13667,Indiana,2295
Alaska,2017,730874,595804,98168,30199,6703,Indiana,186
Arizona,2017,6935358,5717189,911120,261727,45322,Indiana,3381
Arkansas,2017,2968395,2509717,370309,79411,8958,Indiana,1810
California,2017,39085984,34009331,4234770,523131,318752,Indiana,5190
Colorado,2017,5542282,4546729,734182,226933,34438,Indiana,2754
Connecticut,2017,3556297,3136666,311726,83325,24580,Indiana,534
Delaware,2017,952449,830905,78998,38532,4014,Indiana,41
District of Columbia ,2017,684810,554225,64013,56231,10341,Indiana,710
Florida,2017,20772371,17554348,2402381,566476,249166,Indiana,11833
Georgia,2017,10299497,8760762,1202587,278889,57259,Indiana,3319
Hawaii,2017,1410750,1231340,115683,46457,17270,Indiana,327
Idaho,2017,1694182,1405344,210310,71899,6629,Indiana,169
Illinois,2017,12659328,11026895,1365922,195092,71419,Indiana,16998
Indiana,2017,6591598,5633171,792487,142290,23650,Indiana,0
Iowa,2017,3106880,2654666,362905,77072,12237,Indiana,1390
Kansas,2017,2876925,2413141,366147,86154,11483,Indiana,1433
Kentucky,2017,4404279,3721100,563721,103985,15473,Indiana,10192
Louisiana,2017,4629962,4030674,513676,72836,12776,Indiana,327
Maine,2017,1322591,1140136,144186,34252,4017,Indiana,99
Maryland,2017,5988007,5168350,605885,165654,48118,Indiana,1887
Massachusetts,2017,6789798,5888011,677835,146299,77653,Indiana,1134
Michigan,2017,9851330,8450559,1203536,148787,48448,Indiana,9171
Minnesota,2017,5510902,4728748,643272,115623,23259,Indiana,2505
Mississippi,2017,2946971,2553271,313673,73549,6478,Indiana,1958
Missouri,2017,6039877,5108238,742205,164957,24477,Indiana,2088
Montana,2017,1039170,883342,116400,35456,3972,Indiana,317
Nebraska,2017,1894217,1586729,243792,52507,11189,Indiana,171
Nevada,2017,2963456,2430163,383067,133074,17152,Indiana,862
New Hampshire,2017,1330742,1134244,137212,52893,6393,Indiana,311
New Jersey,2017,8910191,7968039,710807,152106,79239,Indiana,884
New Mexico,2017,2062628,1801560,193225,57255,10588,Indiana,1177
New York,2017,19638923,17553033,1655152,285252,145486,Indiana,2657
North Carolina,2017,10158556,8649400,1139260,313834,56062,Indiana,4392
North Dakota,2017,744641,609017,92436,37315,5873,Indiana,74
Ohio,2017,11520109,9822847,1452745,198929,45588,Indiana,10007
Oklahoma,2017,3875922,3216306,542724,101961,14931,Indiana,1303
Oregon,2017,4102048,3405784,520747,149513,26004,Indiana,750
Pennsylvania,2017,12674642,11072942,1292389,250120,59191,Indiana,3667
Rhode Island,2017,1048549,922210,83440,36850,6049,Indiana,247
South Carolina,2017,4966211,4248517,531315,166573,19806,Indiana,2940
South Dakota,2017,856726,723740,99781,26106,7099,Indiana,0
Tennessee,2017,6642072,5675990,748912,191909,25261,Indiana,4745
Texas,2017,27924632,23534387,3643333,524511,222401,Indiana,9510
Utah,2017,3056193,2532858,398606,99584,25145,Indiana,829
Vermont,2017,619089,536390,57588,21868,3243,Indiana,0
Virginia,2017,8372522,7089782,958267,250490,73983,Indiana,1565
Washington,2017,7318811,6016482,978057,260787,63485,Indiana,1171
West Virginia,2017,1798306,1589833,165375,40007,3091,Indiana,492
Wisconsin,2017,5731549,4908638,687285,112519,23107,Indiana,2274
Wyoming,2017,573483,481231,71338,18511,2403,Indiana,18
Puerto Rico,2017,3313519,3101332,189034,20167,2986,Indiana,595
Alabama,2018,4832358,4173026,534914,109301,15117,Indiana,1874
Alaska,2018,727164,608707,81229,32099,5129,Indiana,165
Arizona,2018,7090137,5887700,888452,273714,40271,Indiana,2555
Arkansas,2018,2975961,2539294,354774,73179,8714,Indiana,1241
California,2018,39114889,34232867,4092388,501023,288611,Indiana,6313
Colorado,2018,5633029,4626834,728730,239153,38312,Indiana,2945
Connecticut,2018,3538203,3102312,320248,84718,30925,Indiana,237
Delaware,2018,958770,853523,67984,34451,2812,Indiana,50
District of Columbia ,2018,693798,568201,68603,47555,9439,Indiana,146
Florida,2018,21092877,17863603,2420485,587261,221528,Indiana,11784
Georgia,2018,10410462,8909803,1174523,274273,51863,Indiana,4151
Hawaii,2018,1403653,1211015,125172,54074,13392,Indiana,306
Idaho,2018,1734756,1438727,209540,79765,6724,Indiana,521
Illinois,2018,12599244,11029483,1295596,206620,67545,Indiana,16223
Indiana,2018,6612948,5614432,821113,145256,32147,Indiana,0
Iowa,2018,3119306,2662849,371285,74199,10973,Indiana,1251
Kansas,2018,2874208,2392841,371025,95748,14594,Indiana,731
Kentucky,2018,4414714,3744188,547535,110456,12535,Indiana,11241
Louisiana,2018,4603081,4033845,474843,81355,13038,Indiana,458
Maine,2018,1324095,1143612,142453,34706,3324,Indiana,204
Maryland,2018,5974521,5133916,630955,163216,46434,Indiana,1048
Massachusetts,2018,6834364,5970065,653940,144042,66317,Indiana,819
Michigan,2018,9891083,8562101,1144840,139276,44866,Indiana,12702
Minnesota,2018,5543490,4781432,635928,100270,25860,Indiana,1388
Mississippi,2018,2955717,2582347,297788,68000,7582,Indiana,2858
Missouri,2018,6053109,5161553,720626,152326,18604,Indiana,3462
Montana,2018,1051757,891554,113693,43375,3135,Indiana,391
Nebraska,2018,1905843,1602056,239853,54579,9355,Indiana,669
Nevada,2018,3003761,2495398,366629,127362,14372,Indiana,850
New Hampshire,2018,1344750,1170412,119936,48367,6035,Indiana,327
New Jersey,2018,8815804,7870909,722620,159846,62429,Indiana,312
New Mexico,2018,2072546,1797834,204099,60068,10545,Indiana,0
New York,2018,19329704,17327068,1614505,254447,133684,Indiana,2007
North Carolina,2018,10274540,8723401,1178884,318681,53574,Indiana,3506
North Dakota,2018,749825,623183,89228,33735,3679,Indiana,113
Ohio,2018,11555163,9892715,1426959,198026,37463,Indiana,14252
Oklahoma,2018,3895983,3226343,548493,106943,14204,Indiana,813
Oregon,2018,4152756,3438653,554097,140627,19379,Indiana,854
Pennsylvania,2018,12674699,11119060,1239854,253520,62265,Indiana,2045
Rhode Island,2018,1047975,928114,78525,32841,8495,Indiana,0
South Carolina,2018,5029034,4309043,511153,186505,22333,Indiana,3095
South Dakota,2018,871271,740970,100177,26775,3349,Indiana,144
Tennessee,2018,6692936,5706212,748791,209377,28556,Indiana,4928
Texas,2018,28333482,23992374,3575604,563945,201559,Indiana,9704
Utah,2018,3114717,2583764,408033,100824,22096,Indiana,355
Vermont,2018,621681,542177,50818,26306,2380,Indiana,31
Virginia,2018,8424340,7142767,947475,274003,60095,Indiana,2259
Washington,2018,7453439,6101533,1028654,260906,62346,Indiana,1118
West Virginia,2018,1787630,1585832,156420,43841,1537,Indiana,1227
Wisconsin,2018,5751525,4960260,659159,114613,17493,Indiana,2663
Wyoming,2018,570867,479561,62957,25734,2615,Indiana,227
Puerto Rico,2018,3173956,2915696,234174,20900,3186,Indiana,0
Alabama,2019,4849509,4197698,534842,104780,12189,Indiana,3451
Alaska,2019,722063,609362,74375,34031,4295,Indiana,0
Arizona,2019,7200620,6038776,861935,253295,46614,Indiana,3156
Arkansas,2019,2989054,2559444,361762,59723,8125,Indiana,438
California,2019,39084048,34394220,3943139,480204,266485,Indiana,4923
Colorado,2019,5701658,4695821,736314,240600,28923,Indiana,3114
Connecticut,2019,3531986,3106754,306070,90044,29118,Indiana,309
Delaware,2019,964817,843383,79186,38014,4234,Indiana,0
District of Columbia ,2019,697556,563798,64893,58879,9986,Indiana,427
Florida,2019,21269409,18083185,2381208,601611,203405,Indiana,18175
Georgia,2019,10499808,9034705,1130068,284541,50494,Indiana,3020
Hawaii,2019,1396819,1215974,116566,49708,14571,Indiana,318
Idaho,2019,1764327,1478739,200377,78730,6481,Indiana,454
Illinois,2019,12536539,11014059,1274091,190627,57762,Indiana,17156
Indiana,2019,6656971,5735703,743092,151443,26733,Indiana,0
Iowa,2019,3121385,2686528,348082,72651,14124,Indiana,836
Kansas,2019,2879518,2426897,345003,94648,12970,Indiana,1609
Kentucky,2019,4421512,3792437,517128,100057,11890,Indiana,11424
Louisiana,2019,4595111,4018892,491341,67640,17238,Indiana,258
Maine,2019,1331656,1162558,128105,36129,4864,Indiana,151
Maryland,2019,5979602,5224363,569388,141766,44085,Indiana,512
Massachusetts,2019,6828110,5975607,644535,144079,63889,Indiana,1366
Michigan,2019,9880758,8606216,1104190,132008,38344,Indiana,11026
Minnesota,2019,5575235,4836702,606228,106920,25385,Indiana,2085
Mississippi,2019,2943737,2583691,291479,61683,6884,Indiana,234
Missouri,2019,6069697,5200465,694303,152345,22584,Indiana,5811
Montana,2019,1056994,882156,129779,40862,4197,Indiana,84
Nebraska,2019,1910711,1622237,234322,46064,8088,Indiana,448
Nevada,2019,3048602,2510591,384676,132950,20385,Indiana,594
New Hampshire,2019,1350155,1173997,119189,50288,6681,Indiana,524
New Jersey,2019,8791672,7888800,689445,149260,64167,Indiana,664
New Mexico,2019,2073628,1816418,189705,55545,11960,Indiana,368
New York,2019,19240920,17213380,1638372,254806,134362,Indiana,1470
North Carolina,2019,10371906,8834381,1170200,315215,52110,Indiana,5646
North Dakota,2019,750501,615450,94413,36668,3970,Indiana,174
Ohio,2019,11556037,9891733,1415185,205542,43577,Indiana,12714
Oklahoma,2019,3907258,3282746,509137,101844,13531,Indiana,2397
Oregon,2019,4178578,3527178,501680,129921,19799,Indiana,681
Pennsylvania,2019,12670245,11092255,1259103,267465,51422,Indiana,2276
Rhode Island,2019,1050602,930406,80686,34984,4526,Indiana,150
South Carolina,2019,5092727,4414770,478892,176008,23057,Indiana,1596
South Dakota,2019,872708,739009,102133,26934,4632,Indiana,771
Tennessee,2019,6754461,5782145,755183,196765,20368,Indiana,5630
