destination_state,year,population,same_house,same_state,from_different_state_Total,abroad_Total,from,number_of_people
New York,2018,19329704,17327068,1614505,254447,133684,Alabama,1395
North Carolina,2018,10274540,8723401,1178884,318681,53574,Alabama,3287
North Dakota,2018,749825,623183,89228,33735,3679,Alabama,4
Ohio,2018,11555163,9892715,1426959,198026,37463,Alabama,1744
Oklahoma,2018,3895983,3226343,548493,106943,14204,Alabama,541
Oregon,2018,4152756,3438653,554097,140627,19379,Alabama,315
Pennsylvania,2018,12674699,11119060,1239854,253520,62265,Alabama,1202
Rhode Island,2018,1047975,928114,78525,32841,8495,Alabama,183
South Carolina,2018,5029034,4309043,511153,186505,22333,Alabama,4636
South Dakota,2018,871271,740970,100177,26775,3349,Alabama,84
Tennessee,2018,6692936,5706212,748791,209377,28556,Alabama,8547
Texas,2018,28333482,23992374,3575604,563945,201559,Alabama,5945
Utah,2018,3114717,2583764,408033,100824,22096,Alabama,315
Vermont,2018,621681,542177,50818,26306,2380,Alabama,124
Virginia,2018,8424340,7142767,947475,274003,60095,Alabama,3426
Washington,2018,7453439,6101533,1028654,260906,62346,Alabama,495
West Virginia,2018,1787630,1585832,156420,43841,1537,Alabama,83
Wisconsin,2018,5751525,4960260,659159,114613,17493,Alabama,572
Wyoming,2018,570867,479561,62957,25734,2615,Alabama,639
Puerto Rico,2018,3173956,2915696,234174,20900,3186,Alabama,0
Alabama,2019,4849509,4197698,534842,104780,12189,Alabama,0
Alaska,2019,722063,609362,74375,34031,4295,Alabama,260
Arizona,2019,7200620,6038776,861935,253295,46614,Alabama,1750
Arkansas,2019,2989054,2559444,361762,59723,8125,Alabama,636
California,2019,39084048,34394220,3943139,480204,266485,Alabama,3310
Colorado,2019,5701658,4695821,736314,240600,28923,Alabama,3422
Connecticut,2019,3531986,3106754,306070,90044,29118,Alabama,248
Delaware,2019,964817,843383,79186,38014,4234,Alabama,0
District of Columbia ,2019,697556,563798,64893,58879,9986,Alabama,462
Florida,2019,21269409,18083185,2381208,601611,203405,Alabama,15153
Georgia,2019,10499808,9034705,1130068,284541,50494,Alabama,14169
Hawaii,2019,1396819,1215974,116566,49708,14571,Alabama,502
Idaho,2019,1764327,1478739,200377,78730,6481,Alabama,19
Illinois,2019,12536539,11014059,1274091,190627,57762,Alabama,1658
Indiana,2019,6656971,5735703,743092,151443,26733,Alabama,1481
Iowa,2019,3121385,2686528,348082,72651,14124,Alabama,70
Kansas,2019,2879518,2426897,345003,94648,12970,Alabama,1021
Kentucky,2019,4421512,3792437,517128,100057,11890,Alabama,4390
Louisiana,2019,4595111,4018892,491341,67640,17238,Alabama,2567
Maine,2019,1331656,1162558,128105,36129,4864,Alabama,73
Maryland,2019,5979602,5224363,569388,141766,44085,Alabama,1597
Massachusetts,2019,6828110,5975607,644535,144079,63889,Alabama,1099
Michigan,2019,9880758,8606216,1104190,132008,38344,Alabama,1997
Minnesota,2019,5575235,4836702,606228,106920,25385,Alabama,433
Mississippi,2019,2943737,2583691,291479,61683,6884,Alabama,3512
Missouri,2019,6069697,5200465,694303,152345,22584,Alabama,2246
Montana,2019,1056994,882156,129779,40862,4197,Alabama,400
Nebraska,2019,1910711,1622237,234322,46064,8088,Alabama,812
Nevada,2019,3048602,2510591,384676,132950,20385,Alabama,239
New Hampshire,2019,1350155,1173997,119189,50288,6681,Alabama,379
New Jersey,2019,8791672,7888800,689445,149260,64167,Alabama,357
New Mexico,2019,2073628,1816418,189705,55545,11960,Alabama,751
New York,2019,19240920,17213380,1638372,254806,134362,Alabama,851
North Carolina,2019,10371906,8834381,1170200,315215,52110,Alabama,4697
North Dakota,2019,750501,615450,94413,36668,3970,Alabama,0
Ohio,2019,11556037,9891733,1415185,205542,43577,Alabama,1203
Oklahoma,2019,3907258,3282746,509137,101844,13531,Alabama,241
Oregon,2019,4178578,3527178,501680,129921,19799,Alabama,162
Pennsylvania,2019,12670245,11092255,1259103,267465,51422,Alabama,1898
Rhode Island,2019,1050602,930406,80686,34984,4526,Alabama,0
South Carolina,2019,5092727,4414770,478892,176008,23057,Alabama,873
South Dakota,2019,872708,739009,102133,26934,4632,Alabama,339
Tennessee,2019,6754461,5782145,755183,196765,20368,Alabama,6294
Texas,2019,28642658,24347958,3517954,559661,217085,Alabama,8791
Utah,2019,3162102,2661654,389057,95608,15783,Alabama,1027
Vermont,2019,617560,536752,57776,21212,1820,Alabama,77
Virginia,2019,8439982,7201805,903735,264855,69587,Alabama,4028
Washington,2019,7527366,6253469,977928,231956,64013,Alabama,1060
West Virginia,2019,1773280,1563611,164739,39548,5382,Alabama,245
Wisconsin,2019,5760481,5001140,634732,107973,16636,Alabama,678
Wyoming,2019,572884,473128,68127,30247,1382,Alabama,1227
Puerto Rico,2019,3175835,2968876,169733,31144,6082,Alabama,141
Alabama,2021,4989797,4392571,468964,115641,12621,Alabama,0
Alaska,2021,723949,625088,63611,31378,3872,Alabama,517
Arizona,2021,7202745,6144045,759450,264948,34302,Alabama,1485
Arkansas,2021,2990311,2595527,312848,76108,5828,Alabama,950
California,2021,38833197,34461724,3749371,433402,188700,Alabama,2710
Colorado,2021,5757628,4794481,686892,250031,26224,Alabama,2192
Connecticut,2021,3571470,3168509,279328,106618,17015,Alabama,0
Delaware,2021,994669,889174,58180,42551,4764,Alabama,0
District of Columbia ,2021,661026,527167,68606,57746,7507,Alabama,342
Florida,2021,21590684,18571567,2206566,674740,137811,Alabama,15159
Georgia,2021,10688429,9243299,1107180,302512,35438,Alabama,22228
Hawaii,2021,1426298,1230761,110790,71626,13121,Alabama,2192
Idaho,2021,1879719,1601568,176458,96388,5305,Alabama,350
Illinois,2021,12544435,11095785,1200753,195177,52720,Alabama,614
Indiana,2021,6729771,5835956,714384,156417,23014,Alabama,1906
Iowa,2021,3159672,2725417,347372,77245,9638,Alabama,478
Kansas,2021,2900594,2461533,323036,102319,13706,Alabama,967
